2025-11-06 22:38:56.481 | INFO     | __main__:main:65 - Setting up the TradingHub and its agents.
2025-11-07 20:10:07.208 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.208691 | Avg Spread: 0.0402 (from 100 values)
2025-11-07 20:10:07.210 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.210447 | Avg Spread: 0.0404 (from 100 values)
2025-11-07 20:10:07.212 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.212582 | Avg Spread: 0.0405 (from 100 values)
2025-11-07 20:10:07.217 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.217466 | Avg Spread: 0.0405 (from 100 values)
2025-11-07 20:10:07.698 | DEBUG    | src.agents.spotter:start:91 - [AAPL] Processed quote at 2025-11-07T19:10:07.698060 | Fair Price: 267.7000
2025-11-07 20:10:07.698 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.698296 | Avg Spread: 0.0407 (from 100 values)
2025-11-07 20:10:07.698 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.698775 | Avg Spread: 0.0408 (from 100 values)
2025-11-07 20:10:07.699 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.699148 | Avg Spread: 0.0368 (from 100 values)
2025-11-07 20:10:07.699 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.699498 | Avg Spread: 0.0368 (from 100 values)
2025-11-07 20:10:07.699 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.699839 | Avg Spread: 0.0368 (from 100 values)
2025-11-07 20:10:07.700 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.700308 | Avg Spread: 0.0368 (from 100 values)
2025-11-07 20:10:07.700 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.700659 | Avg Spread: 0.0367 (from 100 values)
2025-11-07 20:10:07.701 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.701045 | Avg Spread: 0.0366 (from 100 values)
2025-11-07 20:10:07.701 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.701391 | Avg Spread: 0.0365 (from 100 values)
2025-11-07 20:10:07.701 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.701858 | Avg Spread: 0.0364 (from 100 values)
2025-11-07 20:10:07.706 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.706149 | Avg Spread: 0.0364 (from 100 values)
2025-11-07 20:10:07.834 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:07.834558 | Avg Spread: 0.0364 (from 100 values)
2025-11-07 20:10:08.011 | INFO     | __main__:trading_logic:42 - Latest Data | Fair Price: 267.7000, Spread: 0.0364
2025-11-07 20:10:08.020 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:08.020380 | Avg Spread: 0.0365 (from 100 values)
2025-11-07 20:10:08.029 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:08.029245 | Avg Spread: 0.0366 (from 100 values)
2025-11-07 20:10:08.527 | DEBUG    | src.agents.spotter:start:91 - [AAPL] Processed quote at 2025-11-07T19:10:08.527915 | Fair Price: 267.6975
